a,ka,hgg,callret-3,callret-4
http://le-online.de/place/1137,http://le-online.de/place/baestleinstrasse,http://le-online.de/place/baestleinstrasse,"Adresse(Bästleinstr. 18,04347,Leipzig)",Point(12.42881 51.35517)
http://le-online.de/place/1141,http://le-online.de/place/bummi,http://le-online.de/place/bummi,"Adresse(Yorckstr. 43 A/B,04159,Leipzig)",Point(12.3436006 51.3699986)
http://le-online.de/place/1142,http://le-online.de/place/eisenbahnstrasse,http://le-online.de/place/eisenbahnstrasse,"Adresse(Eisenbahnstr. 52 A/B,04315,Leipzig)",Point(12.4023774 51.3458191)
http://le-online.de/place/1143,http://le-online.de/place/elsbethstift,http://le-online.de/place/elsbethstift,"Adresse(Elsbethstr. 38,04155,Leipzig)",Point(12.36276 51.36395)
http://le-online.de/place/1144,http://le-online.de/place/froebelchen,http://le-online.de/place/froebelchen,"Adresse(Friedrichshafner Str. 147 b,04357,Leipzig)",Point(12.40502 51.3774)
http://le-online.de/place/1148,http://le-online.de/place/igelnest,http://le-online.de/place/igelnest,"Adresse(Weißdornstr. 2,04209,Leipzig)",Point(12.29445 51.32182)
http://le-online.de/place/1152,http://le-online.de/place/kantatenweg,http://le-online.de/place/kantatenweg,"Adresse(Kantatenweg 41 A,04229,Leipzig)",Point(12.33363 51.31817)
http://le-online.de/place/1154,http://le-online.de/place/kinderland,http://le-online.de/place/kinderland,"Adresse(Garskestr. 17,04205,Leipzig)",Point(12.28779 51.32586)
http://le-online.de/place/1155,http://le-online.de/place/kitamo,http://le-online.de/place/kitamo,"Adresse(Mothesstr. 2,04129,Leipzig)",Point(12.38379 51.37316)
http://le-online.de/place/1158,http://le-online.de/place/knirpsenstadt,http://le-online.de/place/knirpsenstadt,"Adresse(Hermann-Liebmann-Str. 99,04315,Leipzig)",Point(12.4062004 51.347466)
http://le-online.de/place/1159,http://le-online.de/place/lipsiland,http://le-online.de/place/lipsiland,"Adresse(Herloßsohnstr. 20, EG,04155,Leipzig)",Point(12.35509 51.36017)
http://le-online.de/place/1169,http://le-online.de/place/pfiffikus,http://le-online.de/place/pfiffikus,"Adresse(Bertholt-Brecht-Str. 11,04347,Leipzig)",Point(12.4294967 51.3565485)
http://le-online.de/place/1170,http://le-online.de/place/puenktchen,http://le-online.de/place/puenktchen,"Adresse(Hans-Otto-Str. 2B,04279,Leipzig)",Point(12.39385 51.30261)
http://le-online.de/place/1171,http://le-online.de/place/rappelkiste,http://le-online.de/place/rappelkiste,"Adresse(Zweinanundorfer Str. 167, Flachbau,04316,Leipzig)",Point(12.4533516 51.3245396)
http://le-online.de/place/1174,http://le-online.de/place/schuetzstrasse,http://le-online.de/place/schuetzstrasse,"Adresse(Schützstr. 2,04179,Leipzig)",Point(12.32063 51.35304)
http://le-online.de/place/1175,http://le-online.de/place/seumestrasse,http://le-online.de/place/seumestrasse,"Adresse(Seumestr. 99,04249,Leipzig)",Point(12.3117944 51.2782144)
http://le-online.de/place/1176,http://le-online.de/place/sonnenstrahl,http://le-online.de/place/sonnenstrahl,"Adresse(Louis-Fürnberg-Str. 19,04318,Leipzig)",Point(12.42648 51.34855)
http://le-online.de/place/1177,http://le-online.de/place/spatzennest,http://le-online.de/place/spatzennest,"Adresse(Poserstr. 55 ,04347,Leipzig)",Point(12.42545 51.35373)
http://le-online.de/place/1186,http://le-online.de/place/zwergenland,http://le-online.de/place/zwergenland,"Adresse(Baalsdorfer Str. 130 ,04316,Leipzig-Mölkau)",Point(12.4811597 51.3260724)
http://le-online.de/place/1189,http://le-online.de/place/biedermann,http://le-online.de/place/biedermann,"Adresse(Biedermannstr. 23,04277,Leipzig)",Point(12.3761079 51.3077112)
http://le-online.de/place/1192,http://le-online.de/place/familiengarten,http://le-online.de/place/familiengarten,"Adresse(Schenkendorfstr. 10,04275,Leipzig)",Point(12.371178 51.3243328)
http://le-online.de/place/1196,http://le-online.de/place/nasch,http://le-online.de/place/nasch,"Adresse(Odermannstr. 4 ,04177,Leipzig)",Point(12.33231 51.33711)
http://le-online.de/place/1197,http://le-online.de/place/prisma,http://le-online.de/place/prisma,"Adresse(Demmeringstr. 125,04179,Leipzig)",Point(12.3167643 51.3328987)
http://le-online.de/place/1198,http://le-online.de/place/waldorfschulkindergarten,http://le-online.de/place/waldorfschulkindergarten,"Adresse(Friedrichshafner Str. 25,04357,Leipzig)",Point(12.4067229 51.3674068)
http://le-online.de/place/1199,http://le-online.de/place/miniuniversum,http://le-online.de/place/miniuniversum,"Adresse(Liebigstr. 22 b ,04103,Leipzig)",Point(12.3897224 51.3312018)
